DateTime;0.1-1.0;1.0-20.0;4.0-14.0;4.0-20.0
2015-02-24 14:45:00;1.36666054644e-07;6.05414471958e-10;1.35692676205e-10;1.37659388708e-10
2015-02-24 15:00:00;1.353247023e-07;5.63551168101e-10;1.1984015759e-10;1.22109466606e-10
2015-02-24 15:15:00;1.29901497846e-07;8.71239754556e-10;1.30919968406e-10;1.33343040956e-10
2015-02-24 15:30:00;1.27642804489e-07;1.1031632984e-09;1.29722410859e-10;1.32515832383e-10
2015-02-24 15:45:00;1.24195707839e-07;7.47359779922e-10;1.26100898409e-10;1.28373748545e-10
2015-02-24 16:00:00;1.17190395118e-07;6.83737805844e-10;1.27779652586e-10;1.29754606041e-10
2015-02-24 16:15:00;1.17055712626e-07;6.43984060659e-10;1.34428261519e-10;1.36621639238e-10
2015-02-24 16:30:00;1.22060413441e-07;6.12332957877e-10;1.29030033214e-10;1.31187158844e-10
2015-02-24 16:45:00;1.27813178722e-07;5.9287818581e-10;1.25024742074e-10;1.27312250795e-10
2015-02-24 17:00:00;1.24525066599e-07;6.1070430402e-10;1.30013444087e-10;1.32259328919e-10
2015-02-24 17:15:00;1.22931990174e-07;6.16763185857e-10;1.3298651864e-10;1.35003826778e-10
2015-02-24 17:30:00;1.24135229546e-07;6.28022166577e-10;1.3264007109e-10;1.34827895977e-10
2015-02-24 17:45:00;1.25836254902e-07;7.12049104009e-10;1.42763734934e-10;1.45985797207e-10
2015-02-24 18:00:00;1.25419728864e-07;7.0549779256e-10;1.32858108017e-10;1.35748558811e-10
2015-02-24 18:15:00;1.16689981921e-07;6.14481748264e-10;1.30838783089e-10;1.3322094476e-10
2015-02-24 18:30:00;1.22012780874e-07;6.10256838229e-10;1.3269410625e-10;1.35205368087e-10
2015-02-24 18:45:00;1.27949975437e-07;6.13277380715e-10;1.29788512968e-10;1.32268609229e-10
2015-02-24 19:00:00;1.23233694438e-07;6.10422580234e-10;1.25678749132e-10;1.28005395853e-10
2015-02-24 19:15:00;1.25435364099e-07;5.62730953796e-10;1.23708502857e-10;1.26193477658e-10
2015-02-24 19:30:00;1.25832029235e-07;5.57052226226e-10;1.30998834358e-10;1.33225354441e-10
2015-02-24 19:45:00;1.20395831766e-07;5.68800467328e-10;1.30034540651e-10;1.31834244523e-10
2015-02-24 20:00:00;1.15894024443e-07;5.59269805715e-10;1.26571921892e-10;1.28661376253e-10
2015-02-24 20:15:00;1.15411328012e-07;6.54196704991e-10;1.27164128658e-10;1.29986108858e-10
2015-02-24 20:30:00;1.15094892132e-07;6.58547575963e-10;1.25378870758e-10;1.28371943185e-10
2015-02-24 20:45:00;1.19336743568e-07;5.35501544252e-10;1.2199225424e-10;1.25163600395e-10
2015-02-24 21:00:00;1.15174876535e-07;5.05356053987e-10;1.10134973419e-10;1.13192974384e-10
2015-02-24 21:15:00;1.16057926703e-07;4.77689639274e-10;1.04310597414e-10;1.06695663278e-10
2015-02-24 21:30:00;1.17580996512e-07;4.58555514912e-10;1.00811473344e-10;1.0336669951e-10
2015-02-24 21:45:00;1.15294133456e-07;4.44568239412e-10;9.88897229996e-11;1.01498517035e-10
2015-02-24 22:00:00;1.14728556818e-07;4.40078077723e-10;9.94097684399e-11;1.01915391726e-10
2015-02-24 22:15:00;1.08086976999e-07;4.49770231874e-10;9.9886886517e-11;1.02435788506e-10
2015-02-24 22:30:00;1.16749740999e-07;4.64608880124e-10;1.07539608447e-10;1.10180162727e-10
2015-02-24 22:45:00;1.11599900626e-07;4.35774336838e-10;9.3537629713e-11;9.59839853239e-11
2015-02-24 23:00:00;1.05686641608e-07;4.12111451057e-10;8.20917226128e-11;8.42418906426e-11
2015-02-24 23:15:00;1.08031075504e-07;4.09663641027e-10;8.17431603899e-11;8.35860971461e-11
2015-02-25 00:00:00;1.1055217521e-07;4.24116981632e-10;7.34415304446e-11;7.52855786825e-11
2015-02-25 00:15:00;1.09502625745e-07;4.25597109229e-10;6.97319230754e-11;7.1671709701e-11
2015-02-25 00:30:00;1.17176138189e-07;4.11220967533e-10;6.86132815326e-11;7.05901054417e-11
2015-02-25 00:45:00;1.14208977441e-07;4.10527075787e-10;7.11420470002e-11;7.31343430722e-11
2015-02-25 01:00:00;1.04256382854e-07;4.11671569457e-10;7.45009466201e-11;7.65779107785e-11
2015-02-25 01:15:00;1.07666448284e-07;4.19288597679e-10;7.84590630286e-11;8.03608163415e-11
2015-02-25 01:30:00;1.07512337905e-07;4.23005140303e-10;8.01142880776e-11;8.180115303e-11
2015-02-25 01:45:00;1.11244422103e-07;4.34604403514e-10;8.77367976436e-11;8.92639725219e-11
2015-02-25 02:00:00;1.13480173695e-07;4.09661335849e-10;8.74501347091e-11;8.8949557759e-11
2015-02-25 02:15:00;1.1352643878e-07;4.1537683159e-10;8.0283892731e-11;8.18340760047e-11
2015-02-25 02:30:00;1.10318886737e-07;4.3062040593e-10;7.72901297994e-11;7.85467151546e-11
2015-02-25 02:45:00;1.1382979602e-07;4.15576817121e-10;7.45062363657e-11;7.53123101204e-11
2015-02-25 03:00:00;1.14418719535e-07;4.50763014224e-10;6.63917931439e-11;6.72502413588e-11
2015-02-25 03:15:00;1.10648083289e-07;4.42086195524e-10;6.52376299609e-11;6.61765259795e-11
2015-02-25 03:30:00;1.16094698187e-07;3.8655067804e-10;6.24795786723e-11;6.33520682663e-11
2015-02-25 03:45:00;1.12369554132e-07;3.88449617953e-10;6.84193666504e-11;6.91404441658e-11
2015-02-25 04:00:00;1.08300133175e-07;3.96501495143e-10;6.80249756871e-11;6.87787907635e-11
2015-02-25 04:15:00;1.02284908279e-07;3.90970509741e-10;6.0009598732e-11;6.0842763849e-11
2015-02-25 04:30:00;1.08563131371e-07;3.84094440264e-10;6.40593177242e-11;6.48326947469e-11
2015-02-25 04:45:00;1.05676404057e-07;3.87583938054e-10;7.01184269246e-11;7.08284180847e-11
2015-02-25 05:00:00;1.04667254547e-07;4.04231389913e-10;6.84967902383e-11;6.92403713196e-11
2015-02-25 05:15:00;1.0180988495e-07;3.91801436068e-10;7.2888386207e-11;7.36565674052e-11
2015-02-25 05:30:00;1.04696424124e-07;3.72346099195e-10;7.17541713289e-11;7.30180753301e-11
2015-02-25 05:45:00;1.01903660279e-07;3.70440426287e-10;7.13634840794e-11;7.28258981927e-11
